corporate_name_s2,main_customers,revenue,profit
"Initrode 1012, Ltd",SupplyHub|CoreTrade,8928779.92,1684266.39
Umbrella 2390 Corp.,MegaMart|CoreTrade|UrbanWorks|BuildIt,8661794.37,1149044.51
GLOBEX 634 Limited,RetailCo|UrbanWorks|MegaMart,1003007.75,77322.19
MASSIVE DYNAMIC 98 Corp,BuildIt|CoreTrade|MegaMart,8168564.42,1839272.1
"Hooli 378, Corporation",SupplyHub,4092215.31,124426.88
Tyrell 494 Inc,MegaMart|BuildIt|SupplyHub,1708257.48,128646.49
Aperture 2174 Inc.,MegaMart|SupplyHub|CoreTrade,9898951.87,783879.07
Vehement 151 Ltd,BuildIt|SupplyHub|UrbanWorks|RetailCo,6135346.03,1167068.84
"Monarch 430, Corp",RetailCo|BuildIt|UrbanWorks|CoreTrade,6674534.95,468783.78
"Massive Dynamic 1632, Ltd",MegaMart|BuildIt|UrbanWorks,6388181.82,1567131.39
Soylent 1895 Inc.,UrbanWorks|SupplyHub,3833844.22,930926.01
Wayne 454 Inc,UrbanWorks|SupplyHub,4194246.04,349319.47
Massive Dynamic 417 LLC.,SupplyHub,5478674.79,731950.17
"Soylent 1847, Limited",UrbanWorks|BuildIt,1559511.04,132839.7
"Aperture 966, Corporation",SupplyHub,6175271.35,782178.26
Blue Sun 523 Corp,CoreTrade|BuildIt|UrbanWorks,5390237.27,1252712.83
Pied Piper 246 Limited.,SupplyHub|RetailCo,3789203.91,189181.89
"Stark 1108, Corp",BuildIt,8968369.58,1999822.14
"Stark 1960, Corporation",RetailCo|BuildIt|UrbanWorks,5363336.43,579487.05
Blue Sun 764 Corporation.,CoreTrade|BuildIt,4851767.54,356415.71
VIRTUCON 1876 Ltd,UrbanWorks|SupplyHub|RetailCo|MegaMart,8633834.08,1553223.77
Abstergo 135 LLC.,SupplyHub|RetailCo|CoreTrade,4520877.75,907593.2
"Cyberdyne 718, LLC",RetailCo|UrbanWorks|MegaMart|BuildIt,8894564.79,331219.78
Vehement 26 Inc,UrbanWorks|CoreTrade|BuildIt|RetailCo,6128805.09,338022.18
MASSIVE DYNAMIC 1041 Corp,RetailCo|SupplyHub,2998451.54,404262.34
Aperture 1075,MegaMart,493548.79,114563.59
Pied Piper 2169,BuildIt|SupplyHub|RetailCo,9746271.46,2170389.7
Virtucon 294 Corporation.,MegaMart|BuildIt|RetailCo,6495645.73,762481.4
Hooli 961,SupplyHub|CoreTrade|UrbanWorks|BuildIt,4553562.71,441563.55
Umbrella 1226 Limited,RetailCo|UrbanWorks,3715641.03,781274.71
"Pied Piper 1197, Corporation",UrbanWorks|RetailCo|SupplyHub|MegaMart,6984366.14,1634142.85
ABSTERGO 1643 Corp,CoreTrade,10104624.07,251172.06
Aperture 773 Limited,CoreTrade|SupplyHub|UrbanWorks|RetailCo,8759011.49,367434.04
HOOLI 1483 Corp,CoreTrade|SupplyHub,3094822.82,342845.3
Hooli 606,CoreTrade|UrbanWorks|MegaMart,7305732.35,1547194.9
Virtucon 1526 Limited,MegaMart,7286522.91,653193.03
"Initech 847, Ltd",RetailCo|CoreTrade,4135564.51,511812.93
WAYNE 1923 Inc,BuildIt|RetailCo,176714.83,32864.76
Monarch 1733,UrbanWorks|CoreTrade|SupplyHub,9397627.12,1457789.51
SOYLENT 1583 Corp,UrbanWorks|MegaMart|RetailCo|BuildIt,5699412.54,1286345.71
Initrode 188,MegaMart|UrbanWorks|RetailCo|BuildIt,7837100.38,634454.34
UMBRELLA 1 Ltd,RetailCo,960694.44,112441.62
"Soylent 2351, Limited",CoreTrade|SupplyHub,8340544.33,662796.11
Vehement 965,BuildIt|MegaMart|RetailCo|SupplyHub,5153400.8,1021358.71
"Vehement 1150, Inc",BuildIt|CoreTrade|SupplyHub,7870945.43,1565466.43
LexCorp 924,SupplyHub|UrbanWorks|CoreTrade,7861198.51,1080333.11
Wonka 1702 Inc.,UrbanWorks|MegaMart|SupplyHub|RetailCo,5756566.83,1353741.59
"Umbrella 1420, Ltd",RetailCo|CoreTrade|MegaMart,6939553.25,467440.76
"Blue Sun 819, Corp",SupplyHub,5662661.34,405393.88
Acme 1400,SupplyHub|UrbanWorks|MegaMart,8320093.44,1119643.54
Soylent 206 Corp,BuildIt|SupplyHub|UrbanWorks|MegaMart,6402516.99,1042361.57
LEXCORP 1342 Ltd,CoreTrade|RetailCo|SupplyHub,3674542.2,198526.57
"Virtucon 1913, Corp",BuildIt|RetailCo|CoreTrade,6131016.72,979098.33
Stark 1880,RetailCo|BuildIt|UrbanWorks,2558537.14,78337.91
Pied Piper 2294,UrbanWorks|RetailCo|MegaMart|BuildIt,2836812.14,454955.34
Acme 1214 LLC.,BuildIt|MegaMart|RetailCo|UrbanWorks,1828677.09,285469.53
Gringotts 946 LLC,RetailCo|BuildIt|UrbanWorks|MegaMart,1910431.44,374024.91
Initech 2301 Corp,SupplyHub|UrbanWorks|BuildIt,5159251.62,384390.58
Pied Piper 2455,CoreTrade|RetailCo,6851975.79,592000.23
"Acme 1877, LLC",RetailCo|SupplyHub|UrbanWorks,3211531.22,93143.81
Wayne 1337,SupplyHub,3150013.79,353982.43
BLUE SUN 1291 LLC,UrbanWorks|SupplyHub,9704344.83,2102455.28
Wayne 429 Corporation,BuildIt|RetailCo,3798885.94,689294.05
Massive Dynamic 2121 Corporation.,UrbanWorks|MegaMart|BuildIt,2528649.64,175721.83
Hooli 1700 Inc.,BuildIt|CoreTrade,9219733.71,1422752.45
Tyrell 2415 Limited.,RetailCo|UrbanWorks|BuildIt|MegaMart,8548662.18,1360077.6
Vehement 2448,CoreTrade,9432308.44,2064305.59
"Vehement 1977, Corporation",UrbanWorks|MegaMart|SupplyHub,8864005.13,1843933.04
MONARCH 1853 Ltd,UrbanWorks,9845456.47,1689751.78
"Umbrella 95, Limited",RetailCo,1841278.15,442518.41
"Pied Piper 422, Corp",RetailCo|UrbanWorks|BuildIt,4068249.14,170616.57
Gringotts 1301 LLC,RetailCo,9766565.71,1237081.54
Stark 358,SupplyHub,2332155.82,554869.13
Massive Dynamic 1682 Ltd,BuildIt,2132631.97,133025.56
Cyberdyne 962 LLC.,MegaMart,9325261.3,739254.59
Initech 1249 Corporation,RetailCo|MegaMart|BuildIt,9613162.67,370155.41
Abstergo 2404 Inc,MegaMart|BuildIt,2538456.65,352950.64
Globex 1136 LLC,UrbanWorks|BuildIt|SupplyHub,8079830.83,556197.17
"Tyrell 94, Inc",BuildIt,1560956.32,278089.29
Blue Sun 1315 Limited.,SupplyHub|MegaMart|CoreTrade,8332718.17,1764395.1
Massive Dynamic 1446 Inc,UrbanWorks,4230456.08,753430.56
Initrode 891 LLC,UrbanWorks|CoreTrade|BuildIt|SupplyHub,2707583.37,131351.53
Oscorp 2006 Limited,MegaMart,689816.16,69223.01
LexCorp 1058,RetailCo|CoreTrade|SupplyHub|BuildIt,2735945.2,325345.25
Wayne 943 Ltd.,CoreTrade|BuildIt,9209862.48,1615748.7
Gringotts 2330,CoreTrade,1607338.35,35024.32
"Oscorp 1240, Corporation",MegaMart|BuildIt,6178266.28,274546.3
Virtucon 1307 LLC.,UrbanWorks,3891254.45,494310.57
Abstergo 1107,UrbanWorks|MegaMart,4194237.12,518842.85
OSCORP 1577 Corp,MegaMart|BuildIt,5165548.91,474290.65
HOOLI 224 LLC,SupplyHub,2250969.88,275248.7
Wayne 1068,UrbanWorks|RetailCo|CoreTrade,282046.27,43460.83
"Pied Piper 1322, Ltd",SupplyHub|UrbanWorks|CoreTrade|MegaMart,6495907.14,617439.06
LEXCORP 1157 Corporation,BuildIt,3193559.92,488099.74
APERTURE 1455 Inc,SupplyHub|BuildIt,9282323.26,2145359.69
Cyberdyne 1820,MegaMart|CoreTrade,1091755.89,136569.31
VIRTUCON 865 Corporation,BuildIt|UrbanWorks|MegaMart,1567197.46,253461.71
Wayne 2309 Limited,RetailCo|UrbanWorks,9556275.56,2298129.35
Pied Piper 1532 Corp,BuildIt|RetailCo|SupplyHub|UrbanWorks,9033911.83,1715717.57
TYRELL 1146 LLC,SupplyHub|CoreTrade|UrbanWorks|MegaMart,1743097.93,277690.3
Soylent 1325 Corporation,BuildIt|MegaMart|CoreTrade,7720522.4,238435.64
Umbrella 2424 Limited.,BuildIt|RetailCo|UrbanWorks|SupplyHub,3546986.84,91576.03
BLUE SUN 1047 Corporation,RetailCo,7334814.68,1118891.14
"Monarch 1387, LLC",BuildIt|MegaMart,2953885.47,549692.72
PIED PIPER 1891 Limited,MegaMart,9925245.02,1188391.67
Wonka 421,RetailCo|UrbanWorks|SupplyHub|CoreTrade,6423385.36,727530.52
Blue Sun 1156,SupplyHub,4722071.43,144552.75
Gringotts 539,SupplyHub|CoreTrade|UrbanWorks,7076882.6,476489.55
Blue Sun 726 Corporation.,UrbanWorks|BuildIt|CoreTrade|SupplyHub,172740.97,43162.57
Vehement 1597 Corporation,BuildIt|CoreTrade|MegaMart,7932916.64,418002.48
Acme 1332,BuildIt|SupplyHub|CoreTrade,1539300.48,192950.34
SOYLENT 2299 Corp,UrbanWorks,9755295.05,231270.54
Abstergo 1216 LLC,RetailCo|MegaMart|UrbanWorks|BuildIt,7626513.16,1918455.16
Pied Piper 958 Limited,MegaMart,6343454.65,905946.79
Abstergo 2263 LLC.,RetailCo,1244273.68,58652.93
Cyberdyne 1894 Inc,RetailCo,2805204.72,616687.05
Vehement 180 Limited,UrbanWorks,10406357.58,1433235.25
ABSTERGO 1712 LLC,SupplyHub|MegaMart|CoreTrade,180844.61,16595.37
INITECH 1229 Corp,MegaMart|UrbanWorks|BuildIt,5300116.21,941644.6
Oscorp 1964 Corporation.,RetailCo|MegaMart,551563.41,41251.35
Massive Dynamic 1730 Limited.,MegaMart,1654651.0,75238.81
Massive Dynamic 2124 LLC.,CoreTrade|SupplyHub|MegaMart|UrbanWorks,755727.91,64411.66
LexCorp 1734 Corp,RetailCo|SupplyHub,2826865.68,61376.8
Hooli 651,MegaMart|BuildIt|UrbanWorks|SupplyHub,3638585.64,561497.26
"Soylent 2234, Inc",CoreTrade|SupplyHub,8935481.23,1732028.58
Umbrella 23 Inc,RetailCo,2741569.38,458996.87
INITECH 1805 LLC,UrbanWorks,7789242.04,772773.4
Wayne 384 Corporation,CoreTrade|SupplyHub|RetailCo,4790067.09,599272.69
Hooli 1519 Ltd,MegaMart|BuildIt|UrbanWorks,5084101.22,234911.73
Aperture 1500,CoreTrade|RetailCo,4850565.43,798024.97
TYRELL 1080 LLC,MegaMart|SupplyHub,7325907.67,1023906.25
Wayne 2151,RetailCo|CoreTrade,9753140.37,2141862.98
Initrode 1754 Corporation,UrbanWorks,6659145.43,1144103.07
APERTURE 227 Ltd,UrbanWorks,6452874.23,1015318.27
LexCorp 1708 Corporation,UrbanWorks|RetailCo|BuildIt,873774.2,73028.07
"Gringotts 1258, Corp",RetailCo|MegaMart|BuildIt,7381051.26,977589.12
Initech 1106 Corporation.,RetailCo|MegaMart,1879736.78,290706.89
Globex 1945,SupplyHub|RetailCo|BuildIt|CoreTrade,7473071.57,513809.82
Abstergo 1803 Ltd,BuildIt,6619011.99,715127.19
Initech 1300,MegaMart,3117882.36,566706.4
"Massive Dynamic 91, Ltd",CoreTrade|MegaMart|SupplyHub|RetailCo,3173152.7,652112.92
UMBRELLA 2360 LLC,RetailCo,9696685.22,919646.43
BLUE SUN 154 Corp,UrbanWorks,2319316.94,440942.81
Initrode 621 Corp.,UrbanWorks|CoreTrade|MegaMart|RetailCo,9514803.6,193495.61
WONKA 2027 Inc,UrbanWorks|BuildIt|SupplyHub|CoreTrade,2811504.16,625596.56
Umbrella 2490 Inc,SupplyHub,3790970.62,488716.3
LexCorp 898,UrbanWorks,6887352.52,1598836.54
VEHEMENT 1738 Limited,SupplyHub|BuildIt,8118849.17,489396.48
"Tyrell 530, Ltd",RetailCo,6935329.33,379163.71
HOOLI 628 Limited,SupplyHub|BuildIt|UrbanWorks|RetailCo,3990231.44,843283.39
Wayne 181,UrbanWorks,3516727.02,516751.41
Vehement 1051,RetailCo|SupplyHub|MegaMart|CoreTrade,5445304.32,296243.09
Umbrella 1358 LLC.,SupplyHub,5795110.5,1242555.23
SOYLENT 683 Ltd,UrbanWorks|CoreTrade|RetailCo,5760521.1,1227950.33
UMBRELLA 497 Limited,MegaMart|UrbanWorks|SupplyHub|BuildIt,825536.51,135086.7
WAYNE 998 Ltd,CoreTrade|UrbanWorks|RetailCo,3984975.57,577559.04
"Stark 1985, Corporation",SupplyHub,1629681.9,53537.28
Umbrella 1669 Limited.,UrbanWorks|RetailCo,7802238.37,1094636.68
Wonka 600 Corp.,SupplyHub|MegaMart|RetailCo,3334827.93,516499.98
Soylent 2367 Limited,MegaMart,551722.5,67837.79
Vehement 592 Corporation,RetailCo|CoreTrade|BuildIt,8989334.35,2153614.81
WONKA 229 Ltd,UrbanWorks|SupplyHub|MegaMart|CoreTrade,5905192.53,1222387.76
WONKA 152 Corporation,BuildIt,6638238.56,372558.74
Umbrella 1662 Corporation,CoreTrade,3836211.82,862070.68
Pied Piper 2180 Inc,CoreTrade,983812.43,227997.42
Vehement 1516 LLC,MegaMart|BuildIt|RetailCo|UrbanWorks,4334544.89,653489.89
"Wayne 2012, Ltd",BuildIt|CoreTrade,2525953.46,57768.23
Virtucon 526,RetailCo|UrbanWorks,6165511.23,921994.66
SOYLENT 311 Limited,BuildIt,7849813.52,1294475.42
Blue Sun 1091,BuildIt|MegaMart|SupplyHub|CoreTrade,6003970.86,438949.39
"Aperture 1119, LLC",CoreTrade,6052044.01,130190.33
Aperture 1241 Limited,MegaMart|SupplyHub|CoreTrade,445122.86,16111.15
Wayne 1554,RetailCo|SupplyHub|UrbanWorks,5202335.68,905111.49
"Acme 2, Inc",MegaMart|BuildIt|CoreTrade,5103017.35,133205.46
"Oscorp 1874, Corporation",CoreTrade|SupplyHub|UrbanWorks|BuildIt,732923.46,155777.83
TYRELL 1974 Ltd,UrbanWorks|BuildIt|MegaMart,7325137.86,877535.54
"Oscorp 1309, Corp",CoreTrade|BuildIt|SupplyHub|UrbanWorks,9814391.06,734955.8
"Massive Dynamic 1153, Limited",BuildIt|CoreTrade|RetailCo,9824507.39,1362793.99
Initech 1321,UrbanWorks|SupplyHub|RetailCo,9479742.25,1595199.52
"Wonka 930, Ltd",BuildIt|SupplyHub,146049.37,8800.64
Globex 2255 Ltd.,CoreTrade|MegaMart,8076054.52,1208879.77
Vehement 1054,UrbanWorks|RetailCo|MegaMart,1408671.55,54917.59
"Pied Piper 1568, Corporation",UrbanWorks,488165.35,104262.99
Initrode 1581,BuildIt|RetailCo|UrbanWorks|CoreTrade,572555.44,97174.89
Vehement 2204 Corp.,UrbanWorks|RetailCo,4089127.05,87381.19
UMBRELLA 2409 Limited,BuildIt|UrbanWorks|MegaMart|CoreTrade,5985099.16,211618.5
Wayne 1347 Inc,UrbanWorks|RetailCo,9884986.04,1391996.23
Umbrella 244 Inc,RetailCo|BuildIt|CoreTrade,6200213.77,717542.2
Soylent 2005 Inc,UrbanWorks|RetailCo,9939662.59,238010.89
ABSTERGO 1642 Inc,BuildIt,8181180.16,1340113.38
"Initech 747, Ltd",BuildIt|SupplyHub,6371526.65,718583.96
WAYNE 897 Inc,CoreTrade,7698152.12,1257406.16
Soylent 614 Corporation,BuildIt|MegaMart,2785453.78,105607.77
TYRELL 2280 Inc,MegaMart|BuildIt|SupplyHub|UrbanWorks,2322039.67,249027.62
"Abstergo 1821, Corp",CoreTrade,8773781.65,478002.21
Soylent 230 Corp.,MegaMart|CoreTrade|UrbanWorks,8769099.93,175886.61
LexCorp 1845,UrbanWorks,2299201.42,255031.67
Tyrell 1866 LLC,MegaMart|RetailCo,6740285.34,273726.79
"Blue Sun 290, Inc",CoreTrade|BuildIt|SupplyHub,936898.35,169803.05
ABSTERGO 1175 Limited,BuildIt|UrbanWorks|RetailCo|CoreTrade,5605883.61,203563.75
Umbrella 28,SupplyHub|RetailCo|BuildIt,8087070.57,607128.99
"Globex 1966, LLC",MegaMart|SupplyHub|BuildIt|UrbanWorks,2178726.62,101795.58
VEHEMENT 2401 Corporation,RetailCo|UrbanWorks|MegaMart|SupplyHub,7227435.64,1607757.69
CYBERDYNE 2357 Limited,UrbanWorks,10456320.74,2184507.4
Vehement 1076,RetailCo|UrbanWorks,7469468.13,180952.44
Stark 325 Corp,UrbanWorks|CoreTrade,9810109.94,1275924.18
Wonka 826,RetailCo|MegaMart|UrbanWorks|CoreTrade,9836187.9,365196.69
Initrode 1303 LLC.,BuildIt|SupplyHub,113500.12,18645.82
LexCorp 1729 LLC,BuildIt|MegaMart,3749657.43,84520.39
Monarch 100 Ltd.,MegaMart,2547673.4,424600.68
"Abstergo 2344, Corporation",RetailCo|BuildIt,8899909.59,1187682.05
Tyrell 404,MegaMart|RetailCo|BuildIt,8065696.76,700135.63
SOYLENT 449 LLC,BuildIt,5980047.06,733640.82
"Soylent 29, Limited",SupplyHub|CoreTrade|UrbanWorks,947969.18,124921.3
Wayne 1530 Ltd,CoreTrade,8436688.13,1833997.24
Blue Sun 1724 Ltd,CoreTrade|MegaMart|BuildIt,2121625.72,233052.76
OSCORP 1125 Ltd,BuildIt|SupplyHub|MegaMart,5831766.3,1366035.03
Monarch 469 Corporation,CoreTrade|UrbanWorks,9815052.72,1256157.9
Virtucon 1306 Corporation,RetailCo|SupplyHub|BuildIt,7384031.77,240768.8
Stark 633,SupplyHub|MegaMart,8281228.21,1492955.86
WAYNE 1674 Limited,UrbanWorks|RetailCo,6072961.95,528011.9
Aperture 281 Corp.,CoreTrade,8333796.65,313751.86
INITECH 2094 Ltd,RetailCo|UrbanWorks,6330378.53,936024.54
Monarch 2218 Limited.,MegaMart,6708601.74,1614029.37
Aperture 2052,SupplyHub|RetailCo|UrbanWorks|BuildIt,7344603.42,1696720.03
Monarch 657,MegaMart|UrbanWorks|RetailCo,4969041.62,200004.46
Pied Piper 2116 Corp,MegaMart|CoreTrade|RetailCo,6003664.86,495212.31
Massive Dynamic 255,UrbanWorks|SupplyHub,9562231.12,1179600.74
GLOBEX 1596 Corporation,CoreTrade|MegaMart|RetailCo,3777526.81,936579.69
Pied Piper 822 Inc.,SupplyHub|CoreTrade|RetailCo|UrbanWorks,9661748.81,312794.33
"Stark 1834, Corporation",UrbanWorks,7686457.36,543328.68
"Oscorp 1423, Corp",CoreTrade|SupplyHub|MegaMart|BuildIt,570560.48,142145.08
INITRODE 1133 Ltd,SupplyHub|UrbanWorks,1881081.59,301280.28
Umbrella 2362 Corporation,UrbanWorks|BuildIt,7077706.13,1401009.35
Stark 2332 Corporation,RetailCo|BuildIt|UrbanWorks,2865065.91,566685.55
Blue Sun 2339 Corporation,BuildIt|CoreTrade|RetailCo,6697692.76,351164.85
UMBRELLA 607 Inc,RetailCo|UrbanWorks,8147675.31,674170.25
Initrode 269 LLC,UrbanWorks|RetailCo|SupplyHub|CoreTrade,4109819.84,995504.93
GLOBEX 597 Corporation,CoreTrade,2936229.22,539986.32
MASSIVE DYNAMIC 2295 Limited,UrbanWorks|RetailCo|SupplyHub|MegaMart,1880058.71,368819.9
"Wonka 515, LLC",SupplyHub|CoreTrade|BuildIt|RetailCo,9649288.77,2342912.94
Tyrell 1667 LLC,SupplyHub,6047942.17,560023.84
Stark 1548 Limited,BuildIt|MegaMart|UrbanWorks|RetailCo,4972638.78,1006964.15
Initech 1048 LLC.,RetailCo|BuildIt|UrbanWorks,3410457.48,758322.98
"Initech 2236, Ltd",RetailCo,6349811.15,170020.48
Massive Dynamic 1767 Ltd,CoreTrade|MegaMart|UrbanWorks,6811215.17,1659514.27
Abstergo 2408,BuildIt|UrbanWorks|SupplyHub|CoreTrade,1029093.67,129127.1
Pied Piper 1299 Corporation.,SupplyHub|CoreTrade,3648216.25,273559.13
LexCorp 840,CoreTrade|RetailCo|SupplyHub|UrbanWorks,3034696.3,515447.67
Monarch 1947 Corp.,SupplyHub|RetailCo|BuildIt,1204133.27,209348.12
Monarch 212,SupplyHub|UrbanWorks|BuildIt|RetailCo,8716929.9,1786739.49
"Massive Dynamic 2168, Inc",BuildIt|SupplyHub|RetailCo|UrbanWorks,9626205.98,1667135.83
Monarch 1094 Ltd.,CoreTrade|MegaMart|RetailCo|SupplyHub,2013272.31,55189.43
ACME 1814 LLC,CoreTrade|MegaMart,4903424.09,955788.79
LexCorp 1745,MegaMart,824635.37,148213.13
Soylent 2288,BuildIt|SupplyHub|UrbanWorks|RetailCo,8015930.35,1913582.64
UMBRELLA 1262 LLC,MegaMart,8011834.7,566690.53
Abstergo 1000 LLC,SupplyHub,9752224.92,749432.19
Globex 259 Limited,BuildIt|RetailCo|MegaMart,6216598.0,1087984.24
"Aperture 2471, Corp",RetailCo|UrbanWorks,108347.77,5842.43
Virtucon 1740 Limited.,BuildIt|SupplyHub|MegaMart|CoreTrade,1045788.29,188961.7
"Tyrell 1639, Corporation",MegaMart|SupplyHub|UrbanWorks|CoreTrade,3928835.24,836855.78
Initech 1941,BuildIt,4132242.19,373895.88
Initrode 1219 Limited.,RetailCo|CoreTrade,7370175.0,732355.24
Pied Piper 2473 Inc.,SupplyHub|UrbanWorks,1625965.57,240204.05
BLUE SUN 758 LLC,CoreTrade|BuildIt|RetailCo|UrbanWorks,6570319.42,161239.62
WONKA 2352 Ltd,CoreTrade|UrbanWorks,4896621.0,308654.18
WAYNE 2069 Corporation,RetailCo|SupplyHub|MegaMart|UrbanWorks,9697629.36,411301.6
"Initech 282, Corp",RetailCo,3906376.52,599534.12
Globex 2140 Inc,CoreTrade|BuildIt|RetailCo|SupplyHub,2710898.6,483141.68
Wonka 2125,BuildIt|UrbanWorks,5653491.13,1044432.13
"Umbrella 2458, Corp",RetailCo|UrbanWorks|BuildIt|CoreTrade,1945612.56,101478.32
Tyrell 150 Corporation.,SupplyHub,8615649.99,2134158.45
Gringotts 1770 LLC.,CoreTrade|RetailCo|SupplyHub|BuildIt,6441860.35,473205.27
Pied Piper 791,UrbanWorks|SupplyHub|MegaMart,101680.18,4159.33
Blue Sun 1799 Ltd.,UrbanWorks|CoreTrade|RetailCo|BuildIt,2617451.54,414851.27
WAYNE 2034 Corp,SupplyHub,8863518.34,367453.98
Soylent 243 Corporation,UrbanWorks|SupplyHub|MegaMart,4589639.14,530918.53
"Monarch 1375, Limited",UrbanWorks,2043874.83,56293.06
